ticker,name,sector
AAPL,Apple Inc.,Technology
MSFT,Microsoft Corp.,Technology
GOOGL,Alphabet Inc.,Technology
AMZN,Amazon.com Inc.,Consumer Discretionary
NVDA,NVIDIA Corp.,Technology
META,Meta Platforms Inc.,Technology
TSLA,Tesla Inc.,Consumer Discretionary
JPM,JPMorgan Chase & Co.,Financials
JNJ,Johnson & Johnson,Health Care
XOM,Exxon Mobil Corp.,Energy
V,Visa Inc.,Financials
UNH,UnitedHealth Group Inc.,Health Care
PG,Procter & Gamble Co.,Consumer Staples
MA,Mastercard Inc.,Financials
HD,Home Depot Inc.,Consumer Discretionary
CVX,Chevron Corp.,Energy
MRK,Merck & Co. Inc.,Health Care
ABBV,AbbVie Inc.,Health Care
PEP,PepsiCo Inc.,Consumer Staples
KO,Coca-Cola Co.,Consumer Staples
AVGO,Broadcom Inc.,Technology
COST,Costco Wholesale Corp.,Consumer Staples
TMO,Thermo Fisher Scientific,Health Care
WMT,Walmart Inc.,Consumer Staples
BAC,Bank of America Corp.,Financials
MCD,McDonald's Corp.,Consumer Discretionary
  CSCO,Cisco Systems Inc.,Technology
  ACN,Accenture plc,Technology
  ABT,Abbott Laboratories,Health Care
  LIN,Linde plc,Materials
  
